newsgroup_a,newsgroup_b,users_a,users_b,shared_users,jaccard
no.elektronikk,no.tele,1510,1538,270,0.09719222462203024
no.alkohol,no.alt.mat,1064,1172,198,0.0971540726202159
no.c,no.news.diverse,940,1726,236,0.097119341563786
no.alt.tegneserier,no.lisp,906,203,98,0.09693372898120672
no.alt.tegneserier,no.mail.drift,906,373,113,0.09691252144082332
no.litteratur,no.multimedia,1408,1241,234,0.0968944099378882
no.alt.config,no.alt.diskusjoner,327,2182,221,0.09659090909090909
no.norsk,no.stortinget,1808,599,212,0.09658314350797266
no.alt.config,no.alt.mat,327,1172,132,0.09656181419166057
no.alt.radio-tv.irma-1000,no.mail.diverse,202,900,97,0.09651741293532339
no.mail.diverse,no.norsk,900,1808,238,0.09635627530364373
no.marked.data,no.spill,6029,2771,773,0.09629998754204559
no.news.diverse,no.pc,1726,5333,620,0.09628824351607393
no.multimedia,no.news.diverse,1241,1726,260,0.09604728481714074
no.sources.wanted,no.uninett.drift,126,68,17,0.096045197740113
no.prat.narkotika,no.prat.politikk,315,382,61,0.0959119496855346
no.embnet,no.eunet.drift,218,125,30,0.09584664536741214
no.irc,no.norsk,1348,1808,276,0.09583333333333334
no.film,no.irc,2416,1348,329,0.09577874818049491
no.alt.arkiv,no.alt.mat.drikke,130,420,48,0.09561752988047809
no.ef,no.news.diverse,510,1726,195,0.09554140127388536
no.bibsys,no.havforskning,69,344,36,0.09549071618037135
no.jus,no.stortinget,1720,599,202,0.09541804440245631
no.tegnsett,no.uninett.hjelp,184,69,22,0.09523809523809523
no.alkohol,no.alt.mat.drikke,1064,420,129,0.0952029520295203
no.alkohol,no.jus,1064,1720,242,0.0952006294256491
no.psykologi,no.religion,405,1104,131,0.09506531204644413
no.ms-windows,no.tele,2258,1538,329,0.09489472166137872
no.alt.mat,no.jus,1172,1720,250,0.09462528387585163
no.nuug,no.org.efn.diskusjon,83,357,38,0.0945273631840796
no.mail.drift,no.org.efn.diskusjon,373,357,63,0.0944527736131934
no.alt.mat,no.news.diverse,1172,1726,249,0.09399773499433749
no.alt.pompelog,no.eunet.drift,143,125,23,0.09387755102040816
no.general,no.religion,5597,1104,575,0.09386222657525302
no.alt.config,no.mail.drift,327,373,60,0.09375
no.ms-windows,no.spill,2258,2771,431,0.09373640713353631
no.news.diverse,no.radio-tv,1726,1319,260,0.0933572710951526
no.eunet.hjelp,no.news.drift,225,314,46,0.09330628803245436
no.jus,no.religion,1720,1104,241,0.09330236159504453
no.alt.diskusjoner,no.tele,2182,1538,317,0.09315310020570085
no.alkohol,no.ef,1064,510,134,0.09305555555555556
no.alt.diskusjoner,no.linux,2182,2858,429,0.09303838646714378
no.mac,no.mail.diverse,2597,900,297,0.0928125
no.alt.tegneserier,no.jus,906,1720,223,0.0928006658343737
no.alt.pompel-og-pilt,no.alt.tegneserier,202,906,94,0.09270216962524655
no.sources.wanted,no.tungregning,126,51,15,0.09259259259259259
no.alt.gledesutbrudd,no.radio-tv,1620,1319,249,0.09256505576208178
no.alt.gledesutbrudd,no.alt.tegneserier,1620,906,214,0.092560553633218
no.biz.annonser.data,no.biz.nettilbydere,534,258,67,0.09241379310344827
no.audio,no.multimedia,2277,1241,297,0.09220738900962434
no.mail.diverse,no.org.efn.diskusjon,900,357,106,0.09209383145091225
no.alt.tegneserier,no.litteratur,906,1408,195,0.09202453987730061
no.general,no.net,5597,1071,561,0.09186179793679385
no.havforskning,no.net,344,1071,119,0.09182098765432099
no.alt.gledesutbrudd,no.musikk,1620,3425,424,0.0917550313784895
no.nuug,no.psykologi,83,405,41,0.09172259507829977
no.alt.gledesutbrudd,no.net,1620,1071,226,0.09168356997971602
no.alt.frustrasjoner,no.unix,3039,1069,345,0.09168216848259368
no.eunet.diverse,no.sources.list,100,31,11,0.09166666666666666
no.alt.config,no.alt.radio_tv.irma1000,327,209,45,0.09164969450101833
no.prat.politikk,no.www,382,560,79,0.09154113557358054
no.alt.tegneserier,no.irc,906,1348,189,0.09152542372881356
no.alt.frustrasjoner,no.religion,3039,1104,347,0.09141201264488935
no.irc,no.multimedia,1348,1241,216,0.09102402022756005
no.alt.frustrasjoner,no.mail.diverse,3039,900,328,0.09083356410966491
no.alt.radio-tv.irma-1000,no.alt.tegneserier,202,906,92,0.09055118110236221
no.org.efn.diskusjon,no.radio_tv,357,583,78,0.09048723897911833
no.alt.gledesutbrudd,no.mail.diverse,1620,900,209,0.09043704024231934
no.jus,no.mac,1720,2597,358,0.09042687547360445
no.musikk,no.news.diverse,3425,1726,426,0.09015873015873016
no.general,no.tele,5597,1538,590,0.09014514896867838
no.alt.arkiv,no.alt.radio_tv.irma1000,130,209,28,0.09003215434083602
no.multimedia,no.pc,1241,5333,542,0.08985411140583555
no.mail.drift,no.musikk.gitar,373,1047,117,0.08979278587874137
no.litteratur,no.news.diverse,1408,1726,258,0.08970792767732963
no.litteratur,no.net,1408,1071,204,0.08967032967032967
no.alt.tegneserier,no.kjemi,906,663,129,0.08958333333333333
no.radio_tv,no.telepost,583,403,81,0.08950276243093923
no.audio,no.bil,2277,1461,307,0.08947828621393179
no.norsk.fagord,no.skole.diverse,105,224,27,0.08940397350993377
no.ef,no.norsk,510,1808,190,0.08928571428571429
no.net,no.org.efn.diskusjon,1071,357,117,0.08924485125858124
no.alt.mat,no.norsk,1172,1808,244,0.0891812865497076
no.film,no.news.diverse,2416,1726,339,0.0891401525111754
no.news.drift,no.unix,314,1069,113,0.08897637795275591
no.film,no.norsk,2416,1808,345,0.08894044856921887
no.alt.frustrasjoner,no.marked,3039,8022,903,0.08889545186060248
no.marked.jobb,no.multimedia,1996,1241,264,0.08879919273461151
no.elektronikk,no.pc,1510,5333,558,0.08878281622911695
no.alt.diskusjoner,no.prat.politikk,2182,382,209,0.08874734607218683
no.alt.diskusjoner,no.multimedia,2182,1241,279,0.08874045801526717
no.alt.tegneserier,no.mail.diverse,906,900,147,0.08860759493670886
no.norsk,no.unix,1808,1069,234,0.08853575482406356
no.alt.config,no.alt.radio-tv.irma-1000,327,202,43,0.08847736625514403
no.alt.pompelog,no.ef,143,510,53,0.08833333333333333
no.alt.gledesutbrudd,no.religion,1620,1104,221,0.08829404714342788
no.ms-windows,no.net,2258,1071,270,0.08826413860738803
no.alt.gledesutbrudd,no.unix,1620,1069,218,0.08822339133953865
no.folklore.edb,no.norsk.fagord,68,105,14,0.0880503144654088
no.havforskning,no.jus,344,1720,167,0.08803373748023194
no.biz.annonser.data,no.it.diverse,534,260,64,0.08767123287671233
no.ms-windows,no.multimedia,2258,1241,282,0.08765930991607088
no.bibsys,no.norsk.fagord,69,105,14,0.0875
no.alt.diskusjoner,no.unix,2182,1069,261,0.08729096989966555
no.pc,no.vitser,5333,3340,696,0.08725084618277548
no.musikk,no.radio-tv,3425,1319,380,0.08707607699358387
no.org.dnd,no.org.isoc-no,24,26,4,0.08695652173913043
no.jus,no.pc,1720,5333,564,0.08691631992602866
no.jus,no.unix,1720,1069,223,0.08690568978955573
no.alt.gledesutbrudd,no.litteratur,1620,1408,242,0.08686288585786073
no.c,no.multimedia,940,1241,174,0.08669656203288491
no.alt.diskusjoner,no.sport.diverse,2182,1362,282,0.08645003065603923
no.c,no.film,940,2416,267,0.08643573972159276
no.general,no.radio-tv,5597,1319,550,0.08639648130694313
no.alt.diskusjoner,no.c,2182,940,248,0.08629088378566457
no.alkohol,no.stortinget,1064,599,132,0.08621815806662313
no.lisp,no.news.drift,203,314,41,0.0861344537815126
no.jus,no.radio-tv,1720,1319,241,0.08613295210864903
no.alt.gledesutbrudd,no.linux,1620,2858,355,0.08610235265583313
no.norsk,no.vitser,1808,3340,408,0.08607594936708861
no.ms-windows,no.www,2258,560,223,0.08593448940269749
no.embnet,no.net,218,1071,102,0.08593091828138164
no.alt.god.jul,no.net,459,1071,121,0.0858765081618169
no.linux,no.multimedia,2858,1241,324,0.08582781456953642
no.mail.drift,no.medisin,373,514,70,0.08567931456548347
no.litteratur,no.musikk,1408,3425,381,0.08557951482479785
no.eunet.diverse,no.havforskning,100,344,35,0.08557457212713937
no.kjemi,no.news.drift,663,314,77,0.08555555555555555
no.ai,no.psykologi,179,405,46,0.08550185873605948
no.mail.diverse,no.marked.jobb,900,1996,228,0.08545727136431784
no.ef,no.eunet.diverse,510,100,48,0.08540925266903915
no.elektronikk,no.jus,1510,1720,254,0.08534946236559139
no.mail.drift,no.news.diverse,373,1726,165,0.08531540847983454
no.news.drift,no.uninett.drift,314,68,30,0.08522727272727272
no.alt.katter,no.alt.mat,535,1172,134,0.08518753973299428
no.alt.frustrasjoner,no.litteratur,3039,1408,349,0.0851634943875061
no.general,no.unix,5597,1069,523,0.08513755494058278
no.alt.frustrasjoner,no.tele,3039,1538,359,0.08511142721669038
no.alt.tegneserier,no.net,906,1071,155,0.08507135016465422
no.ef,no.film,510,2416,229,0.08490915832406377
no.linux,no.norsk,2858,1808,365,0.0848639851197396
no.jus,no.news.drift,1720,314,159,0.0848
no.alt.irc-treff,no.irc,227,1348,123,0.08471074380165289
no.irc,no.org.efn.diskusjon,1348,357,133,0.0846055979643766
no.alt.radio-tv.irma-1000,no.c,202,940,89,0.08452041785375118
no.news.diverse,no.org.efn.diskusjon,1726,357,162,0.08433107756376887
