from_newsgroup,to_newsgroup,number_of_references,references_from_newsgroup,references_out_of_newsgroup
no.kjemi,no.marked.jobb,873,25136,21500
no.litteratur,no.marked.jobb,869,29283,20463
no.net,no.linux,868,23765,19184
no.film,no.alt.tegneserier,863,51355,19630
no.marked.jobb,no.mail.diverse,863,20015,16808
no.marked.jobb,no.litteratur,860,20015,16808
no.musikk,no.musikk.gitar,859,140052,23221
no.marked.jobb,no.mail.drift,858,20015,16808
no.religion,no.psykologi,856,143204,29159
no.norsk,no.jus,853,107590,28991
no.marked.jobb,no.linux,852,20015,16808
no.alt.diskusjoner,no.audio,851,168368,81207
no.alt.frustrasjoner,no.marked,848,142818,41663
no.marked.jobb,no.kjemi,840,20015,16808
no.alt.diskusjoner,no.pc,839,168368,81207
no.biz.nettilbydere,no.tele,837,5604,2699
no.marked,unknown,832,50284,36323
no.psykologi,no.general,832,17960,9534
no.linux,no.net,816,55051,23868
no.alt.flame,no.pc,815,156932,49658
no.net,no.mail.diverse,809,23765,19184
no.prat.politikk,no.prat.narkotika,804,51683,26609
no.vitser,no.alt.frustrasjoner,792,23838,5996
no.alt.frustrasjoner,no.alt.flame,791,142818,41663
no.prat.narkotika,no.general,787,19057,7971
no.mac,no.news.diverse,784,71238,24654
no.pc,no.multimedia,775,72503,28078
no.mail.diverse,no.net,766,26660,21940
no.general,no.havforskning,761,572652,195646
no.jus,no.marked,745,59888,34547
no.general,no.prat.narkotika,742,572652,195646
no.alt.diskusjoner,no.vitser,738,168368,81207
no.jus,no.musikk,735,59888,34547
no.alt.frustrasjoner,no.jus,733,142818,41663
no.norsk,no.alt.diskusjoner,732,107590,28991
no.news.diverse,no.news.drift,728,62629,27354
no.film,no.radio-tv,727,51355,19630
no.alt.flame,no.spill,726,156932,49658
no.linux,no.general,723,55051,23868
no.news.diverse,no.kjemi,720,62629,27354
no.pc,no.alt.diskusjoner,720,72503,28078
no.elektronikk,no.alt.motorsykler,716,24612,17793
no.alt.diskusjoner,no.alt.flame,713,168368,81207
no.jus,no.alt.frustrasjoner,713,59888,34547
no.general,no.elektronikk,711,572652,195646
no.general,no.marked.data,711,572652,195646
no.general,no.spill,707,572652,195646
no.marked,no.alt.diskusjoner,706,50284,36323
no.news.diverse,no.marked,704,62629,27354
no.multimedia,no.pc,699,31206,26667
no.spill,unknown,699,30675,6456
no.audio,no.marked.data,697,47065,21499
no.religion,no.ef,697,143204,29159
no.alt.frustrasjoner,no.elektronikk,696,142818,41663
no.musikk,no.marked.data,691,140052,23221
no.alt.frustrasjoner,no.net,689,142818,41663
no.marked,no.medisin,684,50284,36323
no.net,no.alt.diskusjoner,682,23765,19184
no.mac,no.medisin,681,71238,24654
no.jus,no.mail.diverse,678,59888,34547
no.biz.nettilbydere,no.general,677,5604,2699
no.marked,no.jus,677,50284,36323
no.alt.tegneserier,no.general,675,18956,14973
no.general,no.www,675,572652,195646
no.sport.diverse,unknown,674,15689,4266
no.radio-tv,no.film,669,15586,5574
no.alt.diskusjoner,no.elektronikk,667,168368,81207
