newsgroup_a,newsgroup_b,users_a,users_b,shared_users,jaccard
no.news.diverse,no.org.efn.diskusjon,1446,320,145,0.08945095619987661
no.media,no.www,709,3396,337,0.08943736730360934
no.folklore.edb,no.folklore.overtro,207,122,27,0.08940397350993377
no.skole.diverse,no.vit.diverse,538,449,81,0.08940397350993377
no.sources.wanted,no.uninett.katalog,142,53,16,0.0893854748603352
no.tegnsett,no.x,150,228,31,0.0893371757925072
no.alt.mat,no.news.diverse,983,1446,199,0.08923766816143498
no.embnet,no.nuug,63,108,14,0.08917197452229299
no.biz.annonser,no.pc,1973,5851,640,0.08908685968819599
no.alt.gledesutbrudd,no.vitser,1358,2603,324,0.08908441022821006
no.audio,no.radio-tv,1992,1987,325,0.08894362342638204
no.it.diverse,no.it.emacs,574,247,67,0.08885941644562334
no.org.efn.diskusjon,no.stortinget,320,501,67,0.08885941644562334
no.norsk.fagord,no.vit.diverse,225,449,55,0.0888529886914378
no.mail.drift,no.news.drift,243,223,38,0.08878504672897196
no.news.diverse,no.pc,1446,5851,595,0.08877946881527903
no.nuug,no.org.nobug.diverse,108,76,15,0.08875739644970414
no.alt.diskusjoner,no.mail.diverse,1895,657,208,0.08873720136518772
no.news.diverse,no.sport.diverse,1446,1094,207,0.08872696099442777
no.org.isoc-no,no.uninett.drift,50,85,11,0.08870967741935484
no.alt.mat,no.jus,983,1414,195,0.0885558583106267
no.alt.gledesutbrudd,no.vit.diverse,1358,449,147,0.08855421686746988
no.jus,no.prat.seksualitet,1414,848,184,0.08854667949951876
no.alkohol,no.alt.gledesutbrudd,880,1358,182,0.08852140077821012
no.sources.list,no.vr,78,119,16,0.08839779005524862
no.it.emacs,no.org.efn.diskusjon,247,320,46,0.08829174664107485
no.alt.mat,no.alt.sjokolade,983,635,131,0.08809683927370544
no.litteratur,no.media,1161,709,151,0.08784176847004072
no.alt.diskusjoner,no.linux,1895,2391,346,0.08781725888324873
no.media,no.org.efn.diskusjon,709,320,83,0.08773784355179703
no.biz.annonser,no.biz.diskusjoner,1973,326,185,0.08751182592242195
no.ai,no.psykologi,214,458,54,0.08737864077669903
no.marked,no.ms-windows,6278,2456,701,0.08726503174405577
no.alt.diskusjoner,no.alt.sjokolade,1895,635,203,0.08723678556080791
no.c,no.linux,727,2391,250,0.08716875871687588
no.musikk,no.www,2990,3396,512,0.08716377255703098
no.litteratur,no.news.diverse,1161,1446,209,0.0871559633027523
no.stortinget,no.vit.diverse,501,449,76,0.08695652173913043
no.alt.mat,no.prat.politikk,983,1118,168,0.08691153647180548
no.biz.annonser,no.elektronikk,1973,1920,311,0.08682300390843105
no.musikk,no.pc,2990,5851,703,0.08638486114524453
no.tegnsett,no.uninett.diverse,150,177,26,0.08637873754152824
no.radio-tv,no.spill,1987,2481,355,0.0863116946267931
no.medisin,no.psykologi,928,458,110,0.08620689655172414
no.ef,no.news.drift,319,223,43,0.08617234468937876
no.pc,no.vitser,5851,2603,669,0.08593448940269749
no.pc,no.radio-tv,5851,1987,620,0.085896370185647
no.linux,no.net,2391,862,257,0.08578104138851803
no.norsk,no.stortinget,1503,501,158,0.08559046587215602
no.jus,no.litteratur,1414,1161,203,0.08558178752107926
no.it.emacs,no.tex,247,210,36,0.0855106888361045
no.c,no.perl,727,479,95,0.0855085508550855
no.ef,no.news.diverse,319,1446,139,0.08548585485854858
no.general,no.media,5478,709,487,0.08543859649122806
no.ai,no.bibsys,214,218,34,0.08542713567839195
no.musikk,no.news.diverse,2990,1446,349,0.08539270858820651
no.radio-tv,no.vitser,1987,2603,361,0.08536296996925988
no.alt.diskusjoner,no.elektronikk,1895,1920,300,0.08534850640113797
no.alt.diskusjoner,no.hobby.diverse,1895,790,211,0.08528698464025869
no.it.diverse,no.unix,574,1157,136,0.08526645768025079
no.folklore.overtro,no.prat.ufo,122,299,33,0.08505154639175258
no.irc,no.norsk,1141,1503,207,0.08494050061551088
no.org.isoc-no,no.sources.list,50,78,10,0.0847457627118644
no.standard,no.tungregning,100,92,15,0.0847457627118644
no.religion,no.vit.diverse,1357,449,141,0.08468468468468468
no.alkohol,no.media,880,709,124,0.08464163822525597
no.skole.diverse,no.stortinget,538,501,81,0.08455114822546973
no.norsk,no.vitser,1503,2603,320,0.08452192287374538
no.alt.gledesutbrudd,no.alt.mat.drikke,1358,516,146,0.08449074074074074
no.biz.annonser,no.www,1973,3396,417,0.08420840064620355
no.prat.ufo,no.vit.diverse,299,449,58,0.08405797101449275
no.org.isoc-no,no.tungregning,50,92,11,0.08396946564885496
no.ms-windows,no.news.diverse,2456,1446,302,0.08388888888888889
no.ef,no.jus,319,1414,134,0.08380237648530331
no.alt.config,no.alt.radio-tv.irma-1000,313,269,45,0.08379888268156424
no.sport.diverse,no.sport.fotball,1094,303,108,0.08378588052754073
no.film,no.news.diverse,1867,1446,256,0.08374223094537128
no.jus,no.kjemi,1414,489,147,0.0837129840546697
no.org.efn.diskusjon,no.pressemeldinger,320,328,50,0.08361204013377926
no.biz.annonser.data,no.elektronikk,1493,1920,263,0.08349206349206349
no.general,no.unix,5478,1157,511,0.08344219464402351
no.alt.tegneserier,no.radio-tv,779,1987,213,0.08343125734430082
no.audio,no.film,1992,1867,297,0.08338012352610892
no.alt.diskusjoner,no.sport.diverse,1895,1094,230,0.08336353751359188
no.ai,no.ef,214,319,41,0.08333333333333333
no.alt.arkiv,no.standard,160,100,20,0.08333333333333333
no.embnet,no.vr,63,119,14,0.08333333333333333
no.kjemi,no.mail.diverse,489,657,88,0.0831758034026465
no.alt.diskusjoner,no.org.efn.diskusjon,1895,320,170,0.08312958435207823
no.folklore.edb,no.news.drift,207,223,33,0.08312342569269521
no.lisp,no.news.drift,194,223,32,0.08311688311688312
no.alt.config,no.alt.gledesutbrudd,313,1358,128,0.0829552819183409
no.irc,no.prat.politikk,1141,1118,173,0.08293384467881112
no.alt.gledesutbrudd,no.net,1358,862,170,0.08292682926829269
no.kjemi,no.mail.drift,489,243,56,0.08284023668639054
no.standard,no.uninett.hjelp,100,83,14,0.08284023668639054
no.jus,no.linux,1414,2391,291,0.08281161070005691
no.alt.mat.drikke,no.alt.tegneserier,516,779,99,0.08277591973244147
no.norsk,no.norsk.fagord,1503,225,132,0.08270676691729323
no.film,no.www,1867,3396,402,0.08269903312075705
no.alt.katter,no.alt.mat.drikke,453,516,74,0.08268156424581005
no.alt.gledesutbrudd,no.linux,1358,2391,286,0.0825873520069304
no.mail.diverse,no.news.drift,657,223,67,0.08241082410824108
no.mail.drift,no.net,243,862,84,0.08227228207639568
no.nuug,no.sources.wanted,108,142,19,0.08225108225108226
no.folklore.edb,no.org.efn.diskusjon,207,320,40,0.08213552361396304
no.religion,no.stortinget,1357,501,141,0.08211997670355271
