newsgroup_a,newsgroup_b,users_a,users_b,shared_users,jaccard
no.irc,no.linux,1472,3019,416,0.10208588957055215
no.multimedia,no.news.diverse,1383,1892,303,0.10195154777927322
no.biz.annonser,no.biz.diskusjoner,2197,431,243,0.1018867924528302
no.mail.drift,no.org.efn.diskusjon,430,446,81,0.1018867924528302
no.mail.diverse,no.org.efn.diskusjon,993,446,133,0.10183767228177641
no.kjemi,no.kryptografi,745,359,102,0.10179640718562874
no.alt.frustrasjoner,no.religion,3039,1583,427,0.10178784266984506
no.lisp,no.perl,302,564,80,0.10178117048346055
no.sources.wanted,no.tungregning,218,118,31,0.10163934426229508
no.jus,no.stortinget,1851,665,232,0.10157618213660245
no.jus,no.tele,1851,2097,364,0.1015625
no.marked.data,no.spill,7987,2992,1012,0.10153506571686566
no.alt.config,no.alt.mat,407,1286,156,0.1014964216005205
no.tungregning,no.uninett.diverse,118,262,35,0.10144927536231885
no.marked,no.www,8430,3452,1094,0.10140897293288839
no.nuug,no.tegnsett,164,249,38,0.10133333333333333
no.litteratur,no.multimedia,1532,1383,268,0.10124669437098602
no.elektronikk,no.pc,2250,7028,853,0.10124629080118694
no.alt.config,no.news.diverse,407,1892,211,0.1010536398467433
no.audio,no.marked,2492,8430,1001,0.10089708698719888
no.film,no.irc,2587,1472,372,0.10089503661513426
no.lisp,no.litteratur,302,1532,168,0.10084033613445378
no.news.diverse,no.pc,1892,7028,817,0.10082685425151179
no.c,no.news.diverse,1036,1892,268,0.10075187969924812
no.film,no.litteratur,2587,1532,377,0.10074826296098344
no.it.emacs,no.tex,394,218,56,0.10071942446043165
no.sources.list,no.tegnsett,101,249,32,0.10062893081761007
no.psykologi,no.religion,584,1583,198,0.1005586592178771
no.ai,no.alkohol,254,1192,132,0.1004566210045662
no.standard,no.uninett.drift,129,112,22,0.1004566210045662
no.lisp,no.x,302,301,55,0.10036496350364964
no.radio-tv,no.video,2075,942,275,0.10029175784099198
no.general,no.irc,7075,1472,779,0.10028321318228631
no.embnet,no.eunet.drift,260,135,36,0.10027855153203342
no.mail.diverse,no.norsk,993,1962,269,0.10014892032762472
no.ef,no.litteratur,567,1532,191,0.100104821802935
no.irc,no.mail.drift,1472,430,173,0.10005783689994216
no.norsk.fagord,no.vit.diverse,243,473,65,0.09984639016897082
no.ms-windows,no.multimedia,3235,1383,419,0.09978566325315551
no.news.diverse,no.vit.diverse,1892,473,214,0.099488609948861
no.biz.nettilbydere,no.net,686,1216,172,0.09942196531791908
no.org.efn.diskusjon,no.uninett.diverse,446,262,64,0.09937888198757763
no.alt.sjokolade,no.mail.drift,656,430,98,0.09919028340080972
no.biz.annonser,no.marked.jobb,2197,2181,395,0.09917147878483555
no.norsk,no.stortinget,1962,665,237,0.099163179916318
no.kryptografi,no.uninett.diverse,359,262,56,0.09911504424778761
no.alt.irc-treff,no.alt.irctreff,296,82,34,0.09883720930232558
no.ef,no.media,567,734,117,0.09881756756756757
no.alkohol,no.ef,1192,567,158,0.09868831980012492
no.folklore.edb,no.it.emacs,219,394,55,0.0985663082437276
no.irc,no.norsk,1472,1962,308,0.09852847088931542
no.alt.config,no.alt.irc-treff,407,296,63,0.0984375
no.alt.diskusjoner,no.tele,2367,2097,400,0.0984251968503937
no.alkohol,no.alt.mat,1192,1286,222,0.09840425531914894
no.ef,no.psykologi,567,584,103,0.0982824427480916
no.marked.data,no.www,7987,3452,1023,0.09821428571428571
