from_newsgroup,to_newsgroup,number_of_references
no.amiga,no.audio,66
no.audio,no.amiga,66
no.bibsys,no.embnet,66
no.bibsys,no.film,66
no.bil,no.audio,66
no.bil,no.jus,66
no.biz.annonser,no.elektronikk,66
no.biz.diskusjoner,no.biz.annonser,66
no.general,no.bibsys,66
no.hobby.diverse,no.alt.mat.drikke,66
no.irc,no.kjemi,66
no.linux,no.c,66
no.lisp,no.kjemi,66
no.lisp,no.mail.diverse,66
no.lisp,no.mail.drift,66
no.marked,no.musikk.gitar,66
no.musikk.gitar,no.marked,66
no.www,no.radio-tv,66
no.folklore.overtro,no.general,65
no.general,no.alt.pompel-og-pilt,65
no.jus,no.marked.data,65
no.lisp,no.marked.jobb,65
no.alt.diskusjoner,no.alt.arkiv,64
no.alt.diskusjoner,no.tele,64
no.alt.motorsykler,no.alt.gledesutbrudd,64
no.amiga,no.elektronikk,64
no.bibsys,no.havforskning,64
no.bibsys,no.irc,64
no.jus,no.multimedia,64
no.kryptografi,no.general,64
no.kryptografi,no.linux,64
no.marked,no.amiga,64
no.marked.bil,no.marked,64
no.media,no.norsk,64
no.medisin,no.linux,64
no.medisin,no.litteratur,64
no.net,no.alt.frustrasjoner,64
no.news.diverse,no.religion,64
no.alt.god.jul,no.ef,63
no.alt.mat.drikke,no.alt.mat,63
no.alt.motorsykler,no.alt.frustrasjoner,63
no.audio,no.bil,63
no.mail.diverse,no.pc,63
no.net,no.litteratur,63
no.net,no.norsk,63
no.pc,no.prat.seksualitet,63
no.slekt,no.news.diverse,63
no.unix,no.www,63
no.alt.diskusjoner,no.amiga,62
no.amiga,no.multimedia,62
no.biz.annonser,unknown,62
no.biz.diskusjoner,no.biz.nettilbydere,62
no.ef,no.alt.god.jul,62
no.general,no.ai,62
no.general,no.student.samfund,62
no.jus,no.elektronikk,62
no.jus,no.news.diverse,62
no.kjemi,no.irc,62
no.litteratur,no.alt.diskusjoner,62
no.marked,no.marked.bil,62
no.marked,no.tele,62
no.marked.bil,no.bil,62
no.medisin,no.vit.diverse,62
no.multimedia,no.amiga,62
no.multimedia,no.medisin,62
no.musikk,no.mail.diverse,62
no.net,no.ef,62
no.norsk,no.linux,62
no.norsk,no.musikk,62
no.pc,no.musikk,62
no.radio-tv,no.alt.god.jul,62
no.alkohol,no.alt.frustrasjoner,61
no.alt.diskusjoner,no.medisin,61
no.alt.pompel-og-pilt,no.alt.radio-tv.irma-1000,61
no.biz.annonser,no.film,61
no.biz.diskusjoner,no.c,61
no.jus,no.audio,61
no.jus,no.ef,61
no.linux,no.medisin,61
no.lisp,no.multimedia,61
no.litteratur,no.net,61
no.marked,no.prat.seksualitet,61
no.marked.data,no.net,61
no.ms-windows,no.mac,61
no.multimedia,no.jus,61
no.musikk,no.kjemi,61
no.musikk,no.mail.drift,61
no.net,no.c,61
no.radio-tv,no.musikk,61
no.alt.frustrasjoner,no.musikk,60
no.alt.god.jul,no.multimedia,60
no.alt.pompel-og-pilt,no.general,60
no.alt.sjokolade,no.general,60
no.alt.tegneserier,unknown,60
no.audio,no.media,60
