from_newsgroup,to_newsgroup,number_of_references
no.alt.pompel-og-pilt,no.linux,489
no.alt.pompel-og-pilt,no.lisp,489
no.alt.pompel-og-pilt,no.litteratur,489
no.alt.pompel-og-pilt,no.mac,489
no.alt.pompel-og-pilt,no.mail.diverse,489
no.alt.pompel-og-pilt,no.mail.drift,489
no.alt.pompel-og-pilt,no.marked.data,489
no.bil,no.alt.sjokolade,489
no.film,no.marked,489
no.irc,unknown,489
no.net,no.ef,488
no.spill,no.multimedia,488
no.alt.diskusjoner,no.pressemeldinger,487
no.biz.diskusjoner,no.bibsys,487
no.vitser,unknown,487
no.audio,no.mac,486
no.ef,no.bolig,486
no.film,no.litteratur,486
no.litteratur,no.jus,486
no.mail.diverse,no.lisp,486
no.prat.seksualitet,no.general,486
no.alt.god.jul,no.alt.tegneserier,485
no.alt.mat,no.alt.frustrasjoner,485
no.www,no.linux,485
no.alt.god.jul,no.audio,484
no.biz.annonser,no.biz.diskusjoner,484
no.embnet,no.bolig,484
no.pc,no.alt.flame,484
no.alt.radio-tv.irma-1000,no.elektronikk,483
no.alt.tegneserier,no.bil,483
no.audio,no.jus,483
no.bibsys,no.bolig,483
no.bil,no.biz.annonser,483
no.mail.drift,no.lisp,483
no.marked.jobb,no.lisp,483
no.biz.nettilbydere,no.bibsys,482
no.c,no.bolig,482
no.jus,no.multimedia,482
